$0;1693267379771780700;1.15-SNAPSHOT;KIEKER;fa370bf86134;1;false;0;NANOSECONDS;0
$1;1693267418519359400;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418516895100;1693267418519354900;fa370bf86134;115;3
$1;1693267418519485800;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418519416200;1693267418519471600;fa370bf86134;121;5
$1;1693267418519506000;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418519401500;1693267418519502700;fa370bf86134;120;4
$1;1693267418521473400;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418520646500;1693267418521468400;fa370bf86134;122;4
$1;1693267418521514800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418519369700;1693267418521511000;fa370bf86134;119;3
$1;1693267418521604900;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418521553500;1693267418521601500;fa370bf86134;125;5
$1;1693267418521621700;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418521543000;1693267418521619000;fa370bf86134;124;4
$1;1693267418523488800;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418522698700;1693267418523483600;fa370bf86134;126;4
$1;1693267418523516800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418521524900;1693267418523513000;fa370bf86134;123;3
$1;1693267418523600800;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418523553300;1693267418523597400;fa370bf86134;129;5
$1;1693267418523620500;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418523543300;1693267418523617700;fa370bf86134;128;4
$1;1693267418525636400;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418524779800;1693267418525630900;fa370bf86134;130;4
$1;1693267418525669800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418523526400;1693267418525665600;fa370bf86134;127;3
$1;1693267418525698700;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getProductImages(java.util.HashMap);<no-session-id>;3515481721627738117;1693267418472815600;1693267418525696200;fa370bf86134;50;2
$1;1693267418539933200;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738117;1693267418539921000;1693267418539921500;fa370bf86134;135;5
$1;1693267418539980500;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738117;1693267418539976200;1693267418539976800;fa370bf86134;136;5
$1;1693267418539989600;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418539890500;1693267418539987400;fa370bf86134;134;4
$1;1693267418540009500;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418539862200;1693267418540007600;fa370bf86134;133;3
$1;1693267418540023100;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;3515481721627738117;1693267418539802000;1693267418540021400;fa370bf86134;132;2
$1;1693267421279101800;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738119;1693267421279085500;1693267421279086300;fa370bf86134;9;5
$1;1693267421279149700;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738119;1693267421279146000;1693267421279146500;fa370bf86134;10;5
$1;1693267421279158200;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738119;1693267421279029800;1693267421279156100;fa370bf86134;8;4
